date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:30	64921/64921	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2010:41:26%20GMT	https://mobicare.co.za/Default.asp	C:/My%20Web%20Sites/test/mobicare.co.za/Default.html	(from )
12:41:31	220/220	---M-Z	200	added ('OK')	text/plain	etag:%22945b7611afa9d91:0%22	https://mobicare.co.za/robots.txt		(from )
12:41:32	97362/97362	---M-Z	200	added ('OK')	application/javascript	etag:%2274f4a16e606dd11:0%22	https://mobicare.co.za/WebModules/Common/js/jq.js	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/Common/js/jq.js	(from https://mobicare.co.za/Default.asp)
12:41:32	11026/11026	---M-Z	200	added ('OK')	application/javascript	etag:%2247333b7a11d4d81:0%22	https://mobicare.co.za/WebModules/Common/css/FontAwesome/5.12.1/js/kenesis-kit.js	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/Common/css/FontAwesome/5.12.1/js/kenesis-kit.js	(from https://mobicare.co.za/Default.asp)
12:41:33	5533/5533	---M-Z	200	added ('OK')	text/css	etag:%221af01d296a68d91:0%22	https://mobicare.co.za/WebModules/Common/css/fancybox.css?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/Common/css/fancybox25bd.css	(from https://mobicare.co.za/Default.asp)
12:41:33	8080/8080	---M-Z	200	added ('OK')	text/css	etag:%221e191213b6dd91:0%22	https://mobicare.co.za/WebModules/Website-Resources/Css/Responsive-custom.css?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/Website-Resources/Css/Responsive-custom25bd.css	(from https://mobicare.co.za/Default.asp)
12:41:34	0/0	---M--	200	added ('OK')	text/css	etag:%22eb9db9641b42d51:0%22	https://mobicare.co.za/WebModules/PageManager/LayoutManager/Layouts/Transpire/Home-Responsive.css?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/PageManager/LayoutManager/Layouts/Transpire/Home-Responsive.525bd.delayed	(from https://mobicare.co.za/Default.asp)
12:41:34	242/242	---M-Z	200	added ('OK')	text/css	etag:%228ae2a6a1375ed51:0%22	https://mobicare.co.za/WebModules/PageManager/LayoutManager/Layouts/Transpire/Home-Responsive-Mobile.css?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/PageManager/LayoutManager/Layouts/Transpire/Home-Responsive-Mobile25bd.css	(from https://mobicare.co.za/Default.asp)
12:41:35	3742/3742	---M-Z	200	added ('OK')	text/css	etag:%22d030ba6bba8d91:0%22	https://mobicare.co.za/WebModules/PageManager/LayoutManager/Layouts/Transpire/Home-Page.css?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/PageManager/LayoutManager/Layouts/Transpire/Home-Page25bd.css	(from https://mobicare.co.za/Default.asp)
12:41:35	3632/3632	---M-Z	200	added ('OK')	text/css	etag:%22f9a25d24aea9d91:0%22	https://mobicare.co.za/_WebModuleData/SiteBuilder/CurrentLayout/theme.css?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/_WebModuleData/SiteBuilder/CurrentLayout/theme25bd.css	(from https://mobicare.co.za/Default.asp)
12:41:36	6294/6294	---M--	200	added ('OK')	image/x-icon	etag:%222ff3e0b677c3d81:0%22	https://mobicare.co.za/_webmoduledata/favicon.ico	C:/My%20Web%20Sites/test/mobicare.co.za/_webmoduledata/favicon.ico	(from https://mobicare.co.za/Default.asp)
12:41:37	64921/64921	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2010:41:33%20GMT	https://mobicare.co.za/_webmoduledata/videos/loaders/200w%20(3	C:/My%20Web%20Sites/test/mobicare.co.za/_webmoduledata/videos/loaders/200w%20(3.html	(from https://mobicare.co.za/Default.asp)
12:41:37	17749/17749	---M-Z	200	added ('OK')	application/javascript	etag:%225e5e32bd5a8d91:0%22	https://mobicare.co.za/WebModules/loginmanager/onsite/js/login.js	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/loginmanager/onsite/js/login.js	(from https://mobicare.co.za/Default.asp)
12:41:38	64921/64921	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2010:41:34%20GMT	https://mobicare.co.za/	C:/My%20Web%20Sites/test/mobicare.co.za/index.html	(from https://mobicare.co.za/Default.asp)
12:41:38	42639/42639	---M--	200	added ('OK')	image/png	etag:%229d9af68b64c3d81:0%22	https://mobicare.co.za/_WebmoduleData/Images/used/_CompanyLogo.png	C:/My%20Web%20Sites/test/mobicare.co.za/_WebmoduleData/Images/used/_CompanyLogo.png	(from https://mobicare.co.za/Default.asp)
12:41:40	68114/68114	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2010:41:36%20GMT	https://mobicare.co.za/Pages/Medical.asp	C:/My%20Web%20Sites/test/mobicare.co.za/Pages/Medical.html	(from https://mobicare.co.za/Default.asp)
12:41:41	63277/63277	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2010:41:37%20GMT	https://mobicare.co.za/Pages/About.asp	C:/My%20Web%20Sites/test/mobicare.co.za/Pages/About.html	(from https://mobicare.co.za/Default.asp)
12:41:42	64851/64851	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2010:41:38%20GMT	https://mobicare.co.za/Pages/Services.asp	C:/My%20Web%20Sites/test/mobicare.co.za/Pages/Services.html	(from https://mobicare.co.za/Default.asp)
12:41:43	64410/64410	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2010:41:39%20GMT	https://mobicare.co.za/Pages/Contact.asp	C:/My%20Web%20Sites/test/mobicare.co.za/Pages/Contact.html	(from https://mobicare.co.za/Default.asp)
12:41:45	21302/21302	---M--	200	added ('OK')	image/jpeg	etag:%2289e5679f06dd91:0%22	https://mobicare.co.za/_Webmoduledata/Images/Thumb/R.jpg	C:/My%20Web%20Sites/test/mobicare.co.za/_Webmoduledata/Images/Thumb/R.jpg	(from https://mobicare.co.za/Default.asp)
12:41:46	69071/69071	---M--	200	added ('OK')	image/png	etag:%22458d349086ed91:0%22	https://mobicare.co.za/_Webmoduledata/Images/Thumb/medicalnew.png	C:/My%20Web%20Sites/test/mobicare.co.za/_Webmoduledata/Images/Thumb/medicalnew.png	(from https://mobicare.co.za/Default.asp)
12:41:47	63358/63358	---M--	200	added ('OK')	image/png	etag:%22583f379586ed91:0%22	https://mobicare.co.za/_Webmoduledata/Images/Thumb/suppliesnew.png	C:/My%20Web%20Sites/test/mobicare.co.za/_Webmoduledata/Images/Thumb/suppliesnew.png	(from https://mobicare.co.za/Default.asp)
12:41:47	50435/50435	---M--	200	added ('OK')	image/png	etag:%22aaa3779d86ed91:0%22	https://mobicare.co.za/_Webmoduledata/Images/Thumb/ppenew.png	C:/My%20Web%20Sites/test/mobicare.co.za/_Webmoduledata/Images/Thumb/ppenew.png	(from https://mobicare.co.za/Default.asp)
12:41:50	3555/3555	---M-Z	200	added ('OK')	application/javascript	etag:%220b62bce6029d81:0%22	https://mobicare.co.za/WebModules/Common/js/cookie.js	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/Common/js/cookie.js	(from https://mobicare.co.za/Default.asp)
12:41:51	5705/5705	---M-Z	200	added ('OK')	application/javascript	etag:%2265e72fe58e9ed91:0%22	https://mobicare.co.za/WebModules/Website-Resources/js/siteloaders.js?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/Website-Resources/js/siteloaders25bd.js	(from https://mobicare.co.za/Default.asp)
12:41:53	2692/2692	---M-Z	200	added ('OK')	text/css	etag:%22f16d4a5a741d41:0%22	https://mobicare.co.za/WebModules/Website-Resources/css/TheLoaders.css?d=2018-08-27	C:/My%20Web%20Sites/test/mobicare.co.za/WebModules/Website-Resources/css/TheLoaders25bd.css	(from https://mobicare.co.za/Default.asp)
12:41:54	9839/9839	---M-Z	200	added ('OK')	application/javascript	etag:%22219ec96985a6d41:0%22	https://mobicare.co.za/Webmodules/common/js/lazyload.js	C:/My%20Web%20Sites/test/mobicare.co.za/Webmodules/common/js/lazyload.js	(from https://mobicare.co.za/Default.asp)
12:41:55	52788/52788	---M--	200	added ('OK')	application/octet-stream	etag:%2201ab6b9e3e1d11:0%22	https://mobicare.co.za/webmodules/common/fonts/bauhaus/BauhausRegular.ttf	C:/My%20Web%20Sites/test/mobicare.co.za/webmodules/common/fonts/bauhaus/BauhausRegular.ttf	(from https://mobicare.co.za/Default.asp)
12:41:56	50212/50212	---M--	200	added ('OK')	application/octet-stream	etag:%2201ab6b9e3e1d11:0%22	https://mobicare.co.za/webmodules/common/fonts/bauhaus/BauhausBold.ttf	C:/My%20Web%20Sites/test/mobicare.co.za/webmodules/common/fonts/bauhaus/BauhausBold.ttf	(from https://mobicare.co.za/Default.asp)
12:41:57	53472/53472	---M--	200	added ('OK')	application/octet-stream	etag:%2201ab6b9e3e1d11:0%22	https://mobicare.co.za/webmodules/common/fonts/bauhaus/BauhausBoldItalic.ttf	C:/My%20Web%20Sites/test/mobicare.co.za/webmodules/common/fonts/bauhaus/BauhausBoldItalic.ttf	(from https://mobicare.co.za/Default.asp)
